   power           prob
   4.8300000e-01   1.8187801e-05
   4.8400000e-01   0.0000000e+00
   4.8500000e-01   4.9603093e-06
   4.8600000e-01   3.6375601e-05
   4.8700000e-01   6.1177148e-05
   4.8800000e-01   1.1243368e-04
   4.8900000e-01   1.0747337e-04
   4.9000000e-01   2.1660017e-04
   4.9100000e-01   7.2255172e-04
   4.9200000e-01   1.0102497e-03
   4.9300000e-01   9.4741907e-04
   4.9400000e-01   1.1028421e-03
   4.9500000e-01   7.3081890e-04
   4.9600000e-01   3.8359725e-04
   4.9700000e-01   4.7453625e-04
   4.9800000e-01   7.0767079e-04
   4.9900000e-01   5.2579278e-04
   5.0000000e-01   8.1679759e-04
   5.0100000e-01   9.8544811e-04
   5.0200000e-01   9.9206185e-04
   5.0300000e-01   1.0367046e-03
   5.0400000e-01   7.1263110e-04
   5.0500000e-01   7.1759141e-04
   5.0600000e-01   6.0350429e-04
   5.0700000e-01   4.7618969e-04
   5.0800000e-01   7.0105704e-04
   5.0900000e-01   7.5396701e-04
   5.1000000e-01   9.0112285e-04
   5.1100000e-01   1.7526426e-03
   5.1200000e-01   2.2569407e-03
   5.1300000e-01   1.8402747e-03
   5.1400000e-01   1.4351828e-03
   5.1500000e-01   1.3558179e-03
   5.1600000e-01   1.0350512e-03
   5.1700000e-01   1.3144820e-03
   5.1800000e-01   1.3706988e-03
   5.1900000e-01   1.1111093e-03
   5.2000000e-01   7.2255172e-04
   5.2100000e-01   8.0026323e-04
   5.2200000e-01   5.7870275e-04
   5.2300000e-01   3.3730103e-04
   5.2400000e-01   3.3730103e-04
   5.2500000e-01   2.9265825e-04
   5.2600000e-01   2.8108419e-04
   5.2700000e-01   6.5806769e-04
   5.2800000e-01   1.7526426e-04
   5.2900000e-01   8.2671821e-05
   5.3000000e-01   1.0251306e-04
   5.3100000e-01   4.7949656e-05
   5.3200000e-01   4.9603093e-06
   5.3300000e-01   1.1574055e-05
   5.3400000e-01   1.6534364e-06
   5.3500000e-01   1.1574055e-05
   5.3600000e-01   0.0000000e+00
   5.3700000e-01   0.0000000e+00
   5.3800000e-01   0.0000000e+00
   5.3900000e-01   0.0000000e+00
   5.4000000e-01   3.3068728e-06
   5.4100000e-01   0.0000000e+00
   5.4200000e-01   0.0000000e+00
   5.4300000e-01   0.0000000e+00
   5.4400000e-01   0.0000000e+00
   5.4500000e-01   0.0000000e+00
   5.4600000e-01   0.0000000e+00
   5.4700000e-01   0.0000000e+00
   5.4800000e-01   0.0000000e+00
   5.4900000e-01   0.0000000e+00
